attendance_rate,gpa,credits_earned,discipline_incidents,ela_score,math_score,graduated
0.935,2.76,17,0,250.3,218.9,1
0.868,2.36,1,1,267.8,274.7,1
0.958,2.55,8,0,265.8,276.3,1
0.967,3.18,10,0,221.6,257.1,1
0.822,2.8,23,0,221.3,282.9,1
0.855,3.0,13,0,234.9,273.2,1
0.926,3.2,12,2,228.9,265.0,1
0.904,2.58,3,1,265.1,230.0,1
0.919,3.25,19,0,257.0,288.1,1
0.877,3.03,8,0,272.0,261.8,1
0.964,2.06,2,0,257.9,241.5,1
0.959,3.67,23,1,254.2,235.3,1
0.923,2.5,4,1,274.0,255.6,1
0.976,1.81,0,0,259.4,213.2,1
0.943,2.17,1,0,251.4,265.4,1
0.877,2.19,10,0,279.6,229.0,1
0.938,2.83,2,0,252.3,258.2,1
0.872,2.64,20,2,243.9,238.5,1
0.964,2.6,12,0,233.2,244.2,1
0.918,3.17,7,2,264.1,233.3,1
0.911,3.0,0,1,274.7,246.5,1
0.886,2.99,11,1,249.0,291.6,1
0.981,3.05,3,1,276.2,280.5,1
0.912,3.17,23,1,210.6,257.8,1
0.899,1.54,6,0,248.9,249.4,1
0.902,2.58,11,0,249.2,268.6,1
0.947,1.49,0,0,235.5,274.9,1
0.938,2.82,3,0,297.7,231.7,0
0.941,2.8,4,0,248.7,248.3,1
0.942,3.43,1,0,241.8,209.9,1
1.0,3.51,17,0,250.5,274.7,1
0.9,2.92,22,2,209.9,295.4,1
0.894,2.5,23,0,234.8,251.8,1
0.879,3.09,6,0,269.7,203.2,1
0.951,2.48,18,1,237.4,263.4,1
0.976,2.8,12,0,233.4,230.1,1
0.914,3.39,1,2,276.2,235.4,1
0.878,2.47,2,1,276.8,263.8,1
0.879,3.28,13,1,260.3,255.6,1
0.953,3.21,10,0,240.9,239.3,0
0.957,2.23,0,1,245.2,235.7,1
0.947,3.38,22,1,233.9,252.8,1
0.887,3.22,17,2,230.1,241.0,1
0.932,2.86,12,1,229.1,225.6,1
0.926,2.34,23,0,237.6,242.7,1
0.931,2.28,23,0,229.3,257.5,1
0.964,2.48,23,3,218.7,246.1,1
0.931,3.13,6,1,254.4,218.9,1
0.954,2.23,21,1,254.7,271.8,1
0.923,3.06,12,0,284.0,189.7,1
0.934,2.05,17,0,236.6,240.2,1
0.952,2.68,20,0,255.9,236.4,1
0.847,2.87,3,0,256.3,253.3,1
0.904,4.0,10,0,244.9,262.4,1
0.896,1.97,3,0,264.9,274.8,1
0.888,3.68,6,0,265.5,234.3,1
0.906,2.89,9,1,256.5,262.9,1
0.995,3.05,20,0,244.9,254.3,1
0.877,2.87,20,0,242.8,212.3,1
0.968,3.07,9,0,222.6,291.8,1
0.836,2.71,7,0,233.9,218.3,1
0.903,3.67,12,1,237.6,259.2,1
0.928,2.53,21,1,227.5,258.6,1
0.949,3.48,23,0,258.8,256.1,1
0.956,2.41,5,1,273.9,239.1,1
0.96,2.76,4,2,231.8,268.2,1
0.903,2.16,16,1,255.7,215.7,1
0.897,3.07,7,1,229.3,248.6,1
0.963,3.67,4,1,243.9,237.6,1
0.91,2.75,0,0,236.2,235.1,0
0.856,2.68,9,1,262.0,259.4,1
0.863,2.13,9,0,236.4,273.7,1
0.874,2.66,13,0,270.2,242.4,1
0.945,1.84,4,0,245.1,267.2,1
0.927,2.25,17,1,237.0,251.1,1
0.955,2.94,16,0,224.9,230.4,1
0.899,3.59,11,0,255.1,244.3,1
0.928,4.0,4,0,267.9,243.4,1
0.951,2.45,12,2,255.5,234.7,1
0.905,3.66,16,0,294.8,259.4,1
0.943,2.95,8,0,278.6,255.2,1
0.887,2.71,6,1,243.8,215.0,0
0.902,3.06,12,0,243.6,213.7,1
0.901,2.84,8,0,259.4,259.3,1
0.86,2.87,9,0,233.2,232.1,1
0.944,2.56,8,0,273.3,256.6,1
0.897,1.96,7,0,257.2,267.2,1
0.921,1.87,17,2,255.1,222.0,1
0.944,3.19,11,2,263.7,218.9,1
0.942,2.63,11,0,284.5,286.8,1
0.953,2.44,15,0,253.4,257.7,1
0.915,2.81,8,1,247.7,240.8,1
0.899,3.28,2,1,280.2,229.5,1
0.916,2.91,20,0,269.4,238.8,1
0.836,2.41,1,1,243.6,223.8,1
